Bahasa Pemrograman dan Pengembangnya,
Bahasa Pemrograman,Pengembang
Python,Guido van Rossum
Java,James Gosling (Sun Microsystems)
C,Dennis Ritchie (Bell Labs)
C++,Bjarne Stroustrup
JavaScript,Brendan Eich (Netscape)
Go,Robert Griesemer - Rob Pike - Ken Thompson 
Rust,Graydon Hoare (Mozilla)
PHP,Rasmus Lerdorf
Ruby,Yukihiro Matsumoto
Swift,Chris Lattner (Apple)
Kotlin,JetBrains
Perl,Larry Wall
Scala,Martin Odersky
TypeScript,Microsoft
R,Ross Ihaka & Robert Gentleman
MATLAB,Cleve Moler
Haskell,Simon Peyton Jones
Lua,Roberto Ierusalimschy
D,Walter Bright
Elixir,José Valim