Gunung di Indonesia dan Lokasinya,
Gunung,Lokasi
Gunung Semeru,Jawa Timur
Gunung Rinjani,Nusa Tenggara Barat
Gunung Kerinci,Sumatera Barat
Gunung Merbabu,Jawa Tengah
Gunung Bromo,Jawa Timur
Gunung Agung,Bali
Gunung Gede,Jawa Barat
Gunung Lawu,Perbatasan Jawa Tengah dan Jawa Timur
Gunung Slamet,Jawa Tengah
Gunung Sumbing,Jawa Tengah
Gunung Sindoro,Jawa Tengah
Gunung Pangrango,Jawa Barat
Gunung Ijen,Jawa Timur
Gunung Papandayan,Jawa Barat
Gunung Dempo,Sumatera Selatan
Gunung Marapi,Sumatera Barat
Gunung Tambora,Nusa Tenggara Barat
Gunung Krakatau,Lampung
Gunung Latimojong,Sulawesi Selatan
Gunung Binaiya,Maluku