Hewan dan Habitat Aslinya,
Hewan,Habitat Asli
Panda,Hutan bambu di Tiongkok
Kangguru,Padang rumput di Australia
Harimau Sumatera,Pulau Sumatera Indonesia
Penguin,Kutub Selatan
Gajah Afrika,Savanna Afrika
Orangutan,Hutan Kalimantan dan Sumatera
Koala,Hutan eukaliptus Australia
Beruang Kutub,Es Kutub Utara
Komodo,Pulau Komodo Indonesia
Flamingo,Rawa-rawa dan laguna
Lumba-lumba,Laut tropis dan subtropis
Macan Tutul Salju,Pegunungan Asia Tengah
Ikan Clown,Terumbu karang
Burung Cenderawasih,Hutan Papua
Bison,Padang rumput Amerika Utara
Rubah Arktik,Tundra Arktik
Tapir,Hutan hujan Amerika Tengah
Kuda Nil,Sungai dan rawa Afrika
Kupu-kupu Monarch,Padang rumput Amerika Utara
Burung Unta,Savanna Afrika